time,smaller,larger,outer,inner,updates
0.563,138,977,977,0,0
1.429,57,16009,16009,47,37
0.101,57,305,305,0,0
1.398,57,3684,3684,1,1
0.576,57,977,977,0,0
1.405,37,16009,16009,31,9
0.093,37,305,305,0,0
1.418,37,3684,3684,6,6
0.576,37,977,977,0,0
1.39,9,16009,16009,2,2
0.095,9,305,305,0,0
1.384,9,3684,3684,0,0
0.568,9,977,977,0,0
1.336,2,16009,16009,0,0
0.093,2,305,305,0,0
1.372,2,3684,3684,0,0
0.556,2,977,977,0,0
0.76,918,2058,910,1020,478
0.689,573,19434,573,642,601
1.736,599,16009,16009,544,532
0.172,573,599,573,0,0
1.478,599,3684,3684,38,38
0.593,599,977,977,7,7
0.294,7,956,948,18,18
1.575,478,16009,16009,166,166
0.183,478,585,585,31,3
1.397,478,3684,3684,4,4
0.572,478,977,977,0,0
1.562,168,16009,16009,157,147
0.189,168,585,585,10,10
1.467,168,3684,3684,41,41
0.594,168,977,977,5,5
0.294,5,1001,993,7,2
1.53,157,16009,16009,148,143
0.182,157,587,587,8,8
1.43,157,3684,3684,20,20
0.588,157,977,977,6,6
0.3,6,1021,1013,6,6
1.453,150,16009,16009,53,48
0.166,150,593,593,26,0
1.448,150,3684,3684,24,24
0.586,150,977,977,3,3
0.296,3,1045,1037,5,0
1.434,47,16009,16009,40,38
0.166,47,593,593,1,1
1.434,47,3684,3684,10,10
0.583,47,977,977,0,0
1.423,39,16009,16009,41,37
0.161,39,593,593,0,0
1.434,39,3684,3684,23,23
0.584,39,977,977,0,0
1.414,36,16009,16009,32,32
0.165,36,593,593,0,0
1.391,36,3684,3684,0,0
0.577,36,977,977,0,0
1.378,32,16009,16009,8,1
0.159,32,593,593,0,0
1.409,32,3684,3684,7,7
0.584,32,977,977,0,0
1.34,1,16009,16009,1,1
0.156,1,593,593,0,0
1.383,1,3684,3684,0,0
0.572,1,977,977,0,0
1.341,1,16009,16009,4,1
0.156,1,593,593,0,0
1.395,1,3684,3684,1,1
0.573,1,977,977,0,0
1.341,1,16009,16009,1,1
0.155,1,593,593,0,0
1.379,1,3684,3684,0,0
0.566,1,977,977,0,0
1.338,1,16009,16009,4,1
0.161,1,593,593,0,0
1.382,1,3684,3684,1,1
0.571,1,977,977,0,0
1.335,1,16009,16009,1,1
0.156,1,593,593,0,0
1.376,1,3684,3684,0,0
0.57,1,977,977,0,0
1.337,1,16009,16009,4,1
0.156,1,593,593,0,0
1.383,1,3684,3684,1,1
0.58,1,977,977,0,0
1.356,1,16009,16009,1,1
0.156,1,593,593,0,0
1.39,1,3684,3684,0,0
0.603,1,977,977,0,0
1.347,1,16009,16009,4,1
0.157,1,593,593,0,0
1.391,1,3684,3684,1,1
0.564,1,977,977,0,0
1.337,1,16009,16009,1,1
0.157,1,593,593,0,0
1.377,1,3684,3684,0,0
0.565,1,977,977,0,0
1.34,1,16009,16009,3,1
0.16,1,593,593,0,0
1.381,1,3684,3684,1,1
0.581,1,977,977,0,0
1.336,1,16009,16009,1,1
0.155,1,593,593,0,0
1.381,1,3684,3684,0,0
0.574,1,977,977,0,0
1.338,1,16009,16009,4,1
0.156,1,593,593,0,0
1.382,1,3684,3684,1,1
0.57,1,977,977,0,0
1.352,1,16009,16009,1,1
0.156,1,593,593,0,0
1.383,1,3684,3684,0,0
0.563,1,977,977,0,0
